id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,sll,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
1,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,6,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,2.58,2.5,通常,立平葺,6点,,3773,679140,直販,CBPA06X6
2,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,6,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,2.58,2.5,通常,立平葺,8点,,3839,691020,直販,CBPA06X8
3,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,7,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.01,3,通常,立平葺,6点,,4400,792000,直販,CBPA07X6
4,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,7,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.01,3,通常,立平葺,8点,,4477,805860,直販,CBPA07X8
5,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,8,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.44,3.4,通常,立平葺,6点,,5027,904860,直販,CBPA08X6
6,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,8,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.44,3.4,通常,立平葺,8点,,5126,922680,直販,CBPA08X8
7,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,9,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.87,3.8,通常,立平葺,6点,,4642,835560,直販,CBPA09X6
8,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,9,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.87,3.8,通常,立平葺,8点,,4741,853380,直販,CBPA09X8
9,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4.3,4,通常,立平葺,6点,,5148,926640,直販,CBPA10X6
10,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4.3,4,通常,立平葺,8点,,5269,948420,直販,CBPA10X8
